대구광역시,15 - 64세,1792054,898235,893819,100.50
대구광역시,65세이상,251516,101474,150042,67.60
대구광역시,평균연령,37.9,36.5,39.4,-
대구광역시,연령중위수,38.5,36.9,39.9,-
인천광역시,계,2632035,1315562,1316473,99.90
인천광역시,0 - 4세,125447,64454,60993,105.70
인천광역시,5 - 9세,133355,68755,64600,106.40
인천광역시,10 - 14세,178382,92571,85811,107.90
인천광역시,15 - 19세,198204,104048,94156,110.50
인천광역시,20 - 24세,173656,91191,82465,110.60
인천광역시,25 - 29세,200048,101564,98484,103.10
인천광역시,30 - 34세,207697,106099,101598,104.40
인천광역시,35 - 39세,232540,117276,115264,101.70
인천광역시,40 - 44세,240289,118836,121453,97.80
인천광역시,45 - 49세,248709,124696,124013,100.60
인천광역시,50 - 54세,217853,110606,107247,103.10
인천광역시,55 - 59세,140003,70683,69320,102.00
인천광역시,60 - 64세,103653,51458,52195,98.60
인천광역시,65 - 69세,79943,37313,42630,87.50
인천광역시,70 - 74세,65619,27641,37978,72.80
인천광역시,75 - 79세,44994,16478,28516,57.80
인천광역시,80 - 84세,25334,7559,17775,42.50
인천광역시,85세이상,16309,4334,11975,36.20
인천광역시,15세미만,437184,225780,211404,106.80
인천광역시,15 - 64세,1962652,996457,966195,103.10
인천광역시,65세이상,232199,93325,138874,67.20
인천광역시,평균연령,36.9,35.9,37.8,-
인천광역시,연령중위수,37.3,36.3,38.1,-
광주광역시,계,1466143,724161,741982,97.60
광주광역시,0 - 4세,73014,37690,35324,106.70
광주광역시,5 - 9세,82288,42791,39497,108.30
광주광역시,10 - 14세,113885,59228,54657,108.40
광주광역시,15 - 19세,120610,62759,57851,108.50
광주광역시,20 - 24세,104075,53053,51022,104.00
광주광역시,25 - 29세,113039,56666,56373,100.50
광주광역시,30 - 34세,114706,56845,57861,98.20
광주광역시,35 - 39세,126152,62120,64032,97.00
광주광역시,40 - 44세,127527,63159,64368,98.10
광주광역시,45 - 49세,118774,59135,59639,99.20
광주광역시,50 - 54세,105584,51876,53708,96.60
광주광역시,55 - 59세,73008,35647,37361,95.40
광주광역시,60 - 64세,60344,28948,31396,92.20
광주광역시,65 - 69세,46452,21725,24727,87.90
광주광역시,70 - 74세,37519,16175,21344,75.80
광주광역시,75 - 79세,25746,9710,16036,60.60
광주광역시,80 - 84세,14502,4588,9914,46.30
광주광역시,85세이상,8918,2046,6872,29.80
광주광역시,15세미만,269187,139709,129478,107.90
광주광역시,15 - 64세,1063819,530208,533611,99.40
광주광역시,65세이상,133137,54244,78893,68.80
광주광역시,평균연령,35.9,34.8,37.0,-
광주광역시,연령중위수,35.5,34.4,36.6,-
대전광역시,계,1490158,745150,745008,100.00
대전광역시,0 - 4세,71984,37100,34884,106.40
대전광역시,5 - 9세,79733,41387,38346,107.90
대전광역시,10 - 14세,104938,54688,50250,108.80
대전광역시,15 - 19세,120208,63941,56267,113.60
대전광역시,20 - 24세,115453,61781,53672,115.10
대전광역시,25 - 29세,114615,58900,55715,105.70
대전광역시,30 - 34세,115328,57230,58098,98.50
대전광역시,35 - 39세,129017,64155,64862,98.90
대전광역시,40 - 44세,129921,64284,65637,97.90
대전광역시,45 - 49세,125691,62446,63245,98.70
대전광역시,50 - 54세,114889,57176,57713,99.10
대전광역시,55 - 59세,79161,39581,39580,100.00
대전광역시,60 - 64세,58205,28789,29416,97.90
대전광역시,65 - 69세,45104,21049,24055,87.50
대전광역시,70 - 74세,36955,15974,20981,76.10
대전광역시,75 - 79세,25494,9699,15795,61.40
대전광역시,80 - 84세,14406,4563,9843,46.40
대전광역시,85세이상,9056,2407,6649,36.20
대전광역시,15세미만,256655,133175,123480,107.90
대전광역시,15 - 64세,1102488,558283,544205,102.60
대전광역시,65세이상,131015,53692,77323,69.40
대전광역시,평균연령,36.2,35.1,37.2,-
대전광역시,연령중위수,36.0,34.8,37.1,-
울산광역시,계,1071673,550869,520804,105.80
울산광역시,0 - 4세,54555,28391,26164,108.50
울산광역시,5 - 9세,57544,30386,27158,111.90
울산광역시,10 - 14세,81816,43449,38367,113.20
울산광역시,15 - 19세,83401,46769,36632,127.70
울산광역시,20 - 24세,59513,34601,24912,138.90
울산광역시,25 - 29세,75807,39855,35952,110.90
울산광역시,30 - 34세,85342,44349,40993,108.20
울산광역시,35 - 39세,95126,47004,48122,97.70
울산광역시,40 - 44세,105585,52185,53400,97.70
울산광역시,45 - 49세,105437,54554,50883,107.20
울산광역시,50 - 54세,91127,46599,44528,104.70
울산광역시,55 - 59세,61284,31807,29477,107.90
울산광역시,60 - 64세,40023,20867,19156,108.90
울산광역시,65 - 69세,27642,13253,14389,92.10
울산광역시,70 - 74세,20895,8994,11901,75.60
